D:\Anaconda_envs\envs\AgentVNE\Lib\site-packages\torch\nn\modules\transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(

Train 1:   0%|          | 0/25 [00:00<?, ?it/s]
Train 1:   4%|▍         | 1/25 [00:35<14:03, 35.14s/it]
Train 1:   8%|▊         | 2/25 [00:36<05:46, 15.07s/it]
Train 1:  12%|█▏        | 3/25 [00:36<03:05,  8.41s/it]
Train 1:  16%|█▌        | 4/25 [00:37<01:50,  5.27s/it]
Train 1:  20%|██        | 5/25 [00:37<01:10,  3.52s/it]
Train 1:  24%|██▍       | 6/25 [00:37<00:46,  2.47s/it]
Train 1:  28%|██▊       | 7/25 [00:38<00:32,  1.80s/it]
Train 1:  32%|███▏      | 8/25 [00:38<00:22,  1.35s/it]
Train 1:  36%|███▌      | 9/25 [00:39<00:16,  1.04s/it]
Train 1:  40%|████      | 10/25 [00:39<00:12,  1.21it/s]
Train 1:  44%|████▍     | 11/25 [00:39<00:09,  1.43it/s]
Train 1:  48%|████▊     | 12/25 [00:40<00:07,  1.73it/s]
Train 1:  52%|█████▏    | 13/25 [00:40<00:06,  1.98it/s]
Train 1:  56%|█████▌    | 14/25 [00:40<00:04,  2.33it/s]
Train 1:  60%|██████    | 15/25 [00:41<00:03,  2.51it/s]
Train 1:  64%|██████▍   | 16/25 [00:41<00:03,  2.64it/s]
Train 1:  68%|██████▊   | 17/25 [00:41<00:02,  2.82it/s]
Train 1:  72%|███████▏  | 18/25 [00:42<00:02,  2.90it/s]
Train 1:  76%|███████▌  | 19/25 [00:42<00:01,  3.08it/s]
Train 1:  80%|████████  | 20/25 [00:42<00:01,  3.05it/s]
Train 1:  84%|████████▍ | 21/25 [00:42<00:01,  3.12it/s]
Train 1:  88%|████████▊ | 22/25 [00:43<00:00,  3.24it/s]
Train 1:  92%|█████████▏| 23/25 [00:43<00:00,  3.13it/s]
Train 1:  96%|█████████▌| 24/25 [00:43<00:00,  3.06it/s]
Train 1: 100%|██████████| 25/25 [00:44<00:00,  2.98it/s]
                                                        
Valid 1:   0%|          | 0/7 [00:00<?, ?it/s]
Valid 1:  14%|█▍        | 1/7 [00:00<00:01,  4.35it/s]
Valid 1:  29%|██▊       | 2/7 [00:00<00:00,  5.11it/s]
Valid 1:  43%|████▎     | 3/7 [00:00<00:00,  5.28it/s]
Valid 1:  57%|█████▋    | 4/7 [00:00<00:00,  4.99it/s]
Valid 1:  71%|███████▏  | 5/7 [00:01<00:00,  4.77it/s]
Valid 1:  86%|████████▌ | 6/7 [00:01<00:00,  4.77it/s]
                                                      
Train 2:   0%|          | 0/25 [00:00<?, ?it/s]
Train 2:   4%|▍         | 1/25 [00:00<00:08,  2.71it/s]
Train 2:   8%|▊         | 2/25 [00:00<00:07,  2.93it/s]
Train 2:  12%|█▏        | 3/25 [00:01<00:07,  3.02it/s]
Train 2:  16%|█▌        | 4/25 [00:01<00:06,  3.11it/s]
Train 2:  20%|██        | 5/25 [00:01<00:06,  3.19it/s]
Train 2:  24%|██▍       | 6/25 [00:01<00:06,  3.16it/s]
Train 2:  28%|██▊       | 7/25 [00:02<00:05,  3.16it/s]
Train 2:  32%|███▏      | 8/25 [00:02<00:05,  3.24it/s]
Train 2:  36%|███▌      | 9/25 [00:02<00:04,  3.21it/s]
Train 2:  40%|████      | 10/25 [00:03<00:04,  3.09it/s]
Train 2:  44%|████▍     | 11/25 [00:03<00:04,  3.16it/s]
Train 2:  48%|████▊     | 12/25 [00:03<00:04,  3.04it/s]
Train 2:  52%|█████▏    | 13/25 [00:04<00:03,  3.01it/s]
Train 2:  56%|█████▌    | 14/25 [00:04<00:03,  2.92it/s]
Train 2:  60%|██████    | 15/25 [00:04<00:03,  2.93it/s]
Train 2:  64%|██████▍   | 16/25 [00:05<00:02,  3.08it/s]
Train 2:  68%|██████▊   | 17/25 [00:05<00:02,  3.24it/s]
Train 2:  72%|███████▏  | 18/25 [00:05<00:02,  3.32it/s]
Train 2:  76%|███████▌  | 19/25 [00:06<00:01,  3.00it/s]
Train 2:  80%|████████  | 20/25 [00:06<00:01,  3.14it/s]
Train 2:  84%|████████▍ | 21/25 [00:06<00:01,  3.08it/s]
Train 2:  88%|████████▊ | 22/25 [00:07<00:01,  2.98it/s]
Train 2:  92%|█████████▏| 23/25 [00:07<00:00,  3.01it/s]
Train 2:  96%|█████████▌| 24/25 [00:07<00:00,  3.00it/s]
Train 2: 100%|██████████| 25/25 [00:08<00:00,  3.05it/s]
                                                        
Valid 2:   0%|          | 0/7 [00:00<?, ?it/s]
Valid 2:  14%|█▍        | 1/7 [00:00<00:01,  4.69it/s]
Valid 2:  29%|██▊       | 2/7 [00:00<00:01,  4.37it/s]
Valid 2:  43%|████▎     | 3/7 [00:00<00:00,  4.15it/s]
Valid 2:  57%|█████▋    | 4/7 [00:00<00:00,  3.94it/s]
Valid 2:  71%|███████▏  | 5/7 [00:01<00:00,  3.99it/s]
Valid 2:  86%|████████▌ | 6/7 [00:01<00:00,  3.84it/s]
                                                      
Train 3:   0%|          | 0/25 [00:00<?, ?it/s]
Train 3:   4%|▍         | 1/25 [00:00<00:08,  2.96it/s]
Train 3:   8%|▊         | 2/25 [00:00<00:07,  3.03it/s]
Train 3:  12%|█▏        | 3/25 [00:01<00:07,  2.91it/s]
Train 3:  16%|█▌        | 4/25 [00:01<00:06,  3.01it/s]
Train 3:  20%|██        | 5/25 [00:01<00:06,  3.06it/s]
Train 3:  24%|██▍       | 6/25 [00:01<00:06,  3.15it/s]
Train 3:  28%|██▊       | 7/25 [00:02<00:05,  3.14it/s]
Train 3:  32%|███▏      | 8/25 [00:02<00:05,  3.04it/s]
Train 3:  36%|███▌      | 9/25 [00:02<00:05,  3.03it/s]
Train 3:  40%|████      | 10/25 [00:03<00:05,  2.97it/s]
Train 3:  44%|████▍     | 11/25 [00:03<00:04,  2.98it/s]
Train 3:  48%|████▊     | 12/25 [00:04<00:04,  2.89it/s]
Train 3:  52%|█████▏    | 13/25 [00:04<00:04,  2.91it/s]
Train 3:  56%|█████▌    | 14/25 [00:04<00:03,  3.08it/s]
Train 3:  60%|██████    | 15/25 [00:04<00:03,  3.07it/s]
Train 3:  64%|██████▍   | 16/25 [00:05<00:02,  3.27it/s]
Train 3:  68%|██████▊   | 17/25 [00:05<00:02,  3.25it/s]
Train 3:  72%|███████▏  | 18/25 [00:05<00:02,  3.30it/s]
Train 3:  76%|███████▌  | 19/25 [00:06<00:01,  3.38it/s]
Train 3:  80%|████████  | 20/25 [00:06<00:01,  3.43it/s]
Train 3:  84%|████████▍ | 21/25 [00:06<00:01,  3.33it/s]
Train 3:  88%|████████▊ | 22/25 [00:06<00:00,  3.51it/s]
Train 3:  92%|█████████▏| 23/25 [00:07<00:00,  3.61it/s]
Train 3:  96%|█████████▌| 24/25 [00:07<00:00,  3.52it/s]
Train 3: 100%|██████████| 25/25 [00:07<00:00,  3.42it/s]
                                                        
Valid 3:   0%|          | 0/7 [00:00<?, ?it/s]
Valid 3:  14%|█▍        | 1/7 [00:00<00:01,  5.38it/s]
Valid 3:  29%|██▊       | 2/7 [00:00<00:00,  5.75it/s]
Valid 3:  43%|████▎     | 3/7 [00:00<00:00,  4.67it/s]
Valid 3:  57%|█████▋    | 4/7 [00:00<00:00,  4.49it/s]
Valid 3:  71%|███████▏  | 5/7 [00:01<00:00,  4.07it/s]
Valid 3:  86%|████████▌ | 6/7 [00:01<00:00,  4.00it/s]
                                                      
Train 4:   0%|          | 0/25 [00:00<?, ?it/s]
Train 4:   4%|▍         | 1/25 [00:00<00:07,  3.31it/s]
Train 4:   8%|▊         | 2/25 [00:00<00:07,  2.99it/s]
Train 4:  12%|█▏        | 3/25 [00:01<00:07,  2.88it/s]
Train 4:  16%|█▌        | 4/25 [00:01<00:06,  3.04it/s]
Train 4:  20%|██        | 5/25 [00:01<00:06,  3.03it/s]
Train 4:  24%|██▍       | 6/25 [00:01<00:06,  3.08it/s]
Train 4:  28%|██▊       | 7/25 [00:02<00:06,  2.99it/s]
Train 4:  32%|███▏      | 8/25 [00:02<00:05,  3.07it/s]
Train 4:  36%|███▌      | 9/25 [00:02<00:04,  3.28it/s]
Train 4:  40%|████      | 10/25 [00:03<00:04,  3.26it/s]
Train 4:  44%|████▍     | 11/25 [00:03<00:04,  3.28it/s]
Train 4:  48%|████▊     | 12/25 [00:03<00:03,  3.27it/s]
Train 4:  52%|█████▏    | 13/25 [00:04<00:03,  3.17it/s]
Train 4:  56%|█████▌    | 14/25 [00:04<00:03,  3.10it/s]
Train 4:  60%|██████    | 15/25 [00:04<00:03,  3.18it/s]
Train 4:  64%|██████▍   | 16/25 [00:05<00:02,  3.26it/s]
Train 4:  68%|██████▊   | 17/25 [00:05<00:02,  3.24it/s]
Train 4:  72%|███████▏  | 18/25 [00:05<00:02,  3.25it/s]
Train 4:  76%|███████▌  | 19/25 [00:06<00:01,  3.13it/s]
Train 4:  80%|████████  | 20/25 [00:06<00:01,  3.06it/s]
Train 4:  84%|████████▍ | 21/25 [00:06<00:01,  3.10it/s]
Train 4:  88%|████████▊ | 22/25 [00:07<00:00,  3.12it/s]
Train 4:  92%|█████████▏| 23/25 [00:07<00:00,  3.06it/s]
Train 4:  96%|█████████▌| 24/25 [00:07<00:00,  3.08it/s]
Train 4: 100%|██████████| 25/25 [00:07<00:00,  3.20it/s]
                                                        
Valid 4:   0%|          | 0/7 [00:00<?, ?it/s]
Valid 4:  14%|█▍        | 1/7 [00:00<00:01,  5.38it/s]
Valid 4:  29%|██▊       | 2/7 [00:00<00:00,  5.24it/s]
Valid 4:  43%|████▎     | 3/7 [00:00<00:00,  5.62it/s]
Valid 4:  57%|█████▋    | 4/7 [00:00<00:00,  5.26it/s]
Valid 4:  71%|███████▏  | 5/7 [00:00<00:00,  5.02it/s]
Valid 4:  86%|████████▌ | 6/7 [00:01<00:00,  5.22it/s]
                                                      
Train 5:   0%|          | 0/25 [00:00<?, ?it/s]
Train 5:   4%|▍         | 1/25 [00:00<00:07,  3.31it/s]
Train 5:   8%|▊         | 2/25 [00:00<00:06,  3.38it/s]
Train 5:  12%|█▏        | 3/25 [00:00<00:06,  3.31it/s]
Train 5:  16%|█▌        | 4/25 [00:01<00:06,  3.45it/s]
Train 5:  20%|██        | 5/25 [00:01<00:06,  3.24it/s]
Train 5:  24%|██▍       | 6/25 [00:01<00:05,  3.35it/s]
Train 5:  28%|██▊       | 7/25 [00:02<00:05,  3.26it/s]
Train 5:  32%|███▏      | 8/25 [00:02<00:05,  3.25it/s]
Train 5:  36%|███▌      | 9/25 [00:02<00:04,  3.33it/s]
Train 5:  40%|████      | 10/25 [00:02<00:04,  3.47it/s]
Train 5:  44%|████▍     | 11/25 [00:03<00:03,  3.65it/s]
Train 5:  48%|████▊     | 12/25 [00:03<00:03,  3.70it/s]
Train 5:  52%|█████▏    | 13/25 [00:03<00:03,  3.75it/s]
Train 5:  56%|█████▌    | 14/25 [00:03<00:02,  3.75it/s]
Train 5:  60%|██████    | 15/25 [00:04<00:02,  3.66it/s]
